ID,German,Bulgarian,Part of Speech,Difficulty,Gender,Plural,Examples,Categories,Status,Notes
a1_verb_017,"finden","Намирам",phrase,1,,,3,everyday-phrases,unreviewed,
a1_verb_018,"helfen","Помагам",phrase,1,,,3,everyday-phrases,unreviewed,
a1_verb_019,"öffnen / aufmachen","Отварям",phrase,1,,,3,everyday-phrases,unreviewed,
a1_verb_020,"schließen / zumachen","Затварям",phrase,1,,,3,everyday-phrases,unreviewed,
a1_verb_021,"verkaufen","Продавам",phrase,1,,,3,everyday-phrases,unreviewed,
a1_verb_022,"bezahlen / zahlen","Плащам",phrase,1,,,3,everyday-phrases,unreviewed,
a1_verb_023,"sagen","Казвам",phrase,1,,,3,culture,unreviewed,
a1_verb_024,"denken / meinen","Мисля",phrase,1,,,3,everyday-phrases,unreviewed,
a1_food_012,"das Brot","Хляб",noun,1,,,3,food,unreviewed,
a1_food_013,"die Milch","Мляко",phrase,1,,,3,everyday-phrases,unreviewed,
