ID,German,Bulgarian,Part of Speech,Difficulty,Gender,Plural,Examples,Categories,Status,Notes
a1_final_053,"Gesetz","Закон",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_054,"Ordnung/Reihe","Ред",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_055,"Gruppe","Група",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_056,"Mitglied","Член",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_057,"Gesellschaft","Общество",phrase,1,,,3,everyday-phrases,unreviewed,
dobur_den_002_dup1,"Guten Tag","Добър ден",interjection,1,,,1,greetings,unreviewed,
rabota_005_dup1,"Arbeit","работа",phrase,1,,,2,everyday-phrases,unreviewed,
kniga_006_dup1,"Buch","книга",phrase,1,,,2,everyday-phrases,unreviewed,
a1_final_015_dup1,"Wasser","Вода",phrase,1,,,5,food;nature,unreviewed,
a1_verb_071_dup1,"haben","Имам",phrase,1,,,3,everyday-phrases,unreviewed,
